Brand,Discount,Price,Product Name,Rating,Reviewer
APPLE,0%,3350000.0,Apple iPhone 7 32GB Smartphone,3.0,2.0
APPLE,15%,10200000.0,Apple iPhone X Smartphone [64GB],3.0,5.0
APPLE,0%,5100000.0,Apple Iphone 8 64GB Smartphone,2.0,4.0
APPLE,0%,5850000.0,Apple iPhone 7 Plus [128GB],5.0,2.0
APPLE,8%,14000000.0,"Apple Iphone X (Silver, 64 GB)",4.0,524.0
APPLE,30%,10850000.0,"Apple Iphone X (Silver, 256 GB)",0.0,0.0
APPLE,6%,15499000.0,Apple iPhone 11 128 GB Smartphone [Garansi Resmi],4.0,44.0
APPLE,0%,24500000.0,Apple iPhone 11 Pro Max 256 GB Smartphone  [Hongkong Set/ Dual Nano Sim],4.0,116.0
APPLE,0%,4699000.0,Apple iPhone 7 Plus 32 GB Smartphone,4.0,6.0
APPLE,0%,7600000.0,Apple iPhone 7 Plus Smartphone ,0.0,0.0
APPLE,0%,5150000.0,"Apple Iphone 8 (Red, 64 GB)",4.0,80.0
APPLE,40%,6000000.0,"Apple Iphone 8 (Gold, 64 GB)",4.0,80.0
APPLE,0%,6500000.0,"Apple Iphone 7 (Red, 128 GB)",3.0,2.0
APPLE,0%,9200000.0,"Apple Iphone Xr (Yellow, 64 GB)",4.0,29.0
APPLE,0%,9200000.0,"Apple Iphone Xr (Red, 64 GB)",4.0,29.0
APPLE,0%,9500000.0,"Apple Iphone 7 (Silver, 32 GB)",1.0,1.0
APPLE,21%,10600000.0,"Apple Iphone Xr (Blue, 64 GB)",4.0,94.0
APPLE,20%,10695000.0,"Apple Iphone Xr (Coral, 64 GB)",4.0,29.0
APPLE,20%,10700000.0,"Apple Iphone XR (White, 64 GB)",4.0,94.0
APPLE,0%,11199000.0,"Apple Iphone 7 (Black, 128 GB)",4.0,24.0
APPLE,0%,11499000.0,"Apple Iphone Xr (Black, 64 GB)",0.0,0.0
APPLE,10%,11700000.0,"Apple Iphone Xr (Blue, 128 GB)",4.0,29.0
APPLE,10%,11700000.0,"Apple Iphone XR (White, 128 GB)",4.0,29.0
APPLE,10%,11700000.0,"Apple Iphone Xr (Red, 128 GB)",4.0,29.0
APPLE,2%,11760000.0,"Apple Iphone Xr (Coral, 128 GB)",4.0,29.0
APPLE,21%,11774215.0,"Apple Iphone Xr (Black, 128 GB)",4.0,29.0
APPLE,9%,11800000.0,"Apple Iphone Xr (Yellow, 128 GB)",4.0,29.0
APPLE,8%,12420000.0,"Apple Iphone Xr (Black, 256 GB)",4.0,29.0
APPLE,8%,12420000.0,"Apple Iphone Xr (Red, 256 GB)",4.0,29.0
APPLE,10%,12500000.0,"Apple Iphone Xr (Blue, 256 GB)",4.0,29.0
APPLE,10%,12500000.0,"Apple Iphone XR (White, 256 GB)",4.0,29.0
APPLE,10%,12500000.0,"Apple Iphone Xr (Coral, 256 GB)",4.0,29.0
